aggiornamento,url,positivi_gauge,deceduti_counter,pazienti_domicilio_gauge,ospedalizzati_gauge,terapia_intensiva_gauge,asl1_gauge,asl1_terapia_intensiva_gauge,asl2_gauge,asl2_terapia_intensiva_gauge,asl3_colletta_gauge,asl3_colletta_terapia_intensiva_gauge,asl3_scassi_gauge,asl3_scassi_terapia_intensiva_gauge,asl3_micone_gauge,asl3_micone_terapia_intensiva_gauge,asl4_gauge,asl4_terapia_intensiva_gauge,asl5_gauge,asl5_terapia_intensiva_gauge,sanmartino_gauge,sanmartino_terapia_intensiva_gauge,galliera_gauge,galliera_terapia_intensiva_gauge,gaslini_gauge,gaslini_terapia_intensiva_gauge,evangelico_gauge,evangelico_terapia_intensiva_gauge,clinicamente_guariti_tot_counter,guariti_negativi_tot_counter,sorveglianze_tot_gauge,asl1_sorveglianze_gauge,asl2_sorveglianze_gauge,asl3_sorveglianze_gauge,asl4_sorveglianze_gauge,asl5_sorveglianze_gauge
2020-03-29,https://www.facebook.com/EnteRegioneLiguria/?hc_ref=ARRQjhkMhXObCtmtmCoDnjrxLWVu73KC_LwsfVuQPwyJk_rh8VRKtLBki3AqDN-41iI&fref=nf&__xts__%5B0%5D=68.ARAUnABquO3QspV4seBjZeLBKW-pxPl8FBOUxh7BeUI-PolgECwdYoJk8Sh7lKOrYlJPqlY_KMHqBKvK9y5mjcs6xgqmEaYWTsrXhG99w_-8hPkXh4sn7_2ja9MQlh0-_YOR_YLjoXUmOzv3QCzRQWQoo51QREa4XRkbBRKMUSClUNtFq8Flo3rR0YIegTFt1EofxiOhuqnuZvPKSSSBT8xyk073N0PuYtJe109Ewu1toF2JNNIoLZI8aZyC_d5qZRf06jLv0ieudGHybMqe50JySqyBct2wuAsIpsk0t7VRR1mffE5k5tNTMIJRdUrgBDbf_LrnxULYmyxxymUZuW-f&__tn__=kC-R,2645,377,1034,1243,166,205,22,167,31,6,0,192,21,0,0,68,9,129,15,270,43,140,17,0,0,66,8,368,52,3334,731,739,865,361,638
2020-03-28,https://www.facebook.com/hashtag/coronavirusliguria?source=feed_text&epa=HASHTAG&__xts__%5B0%5D=68.ARAVbJFmoWFw0YloeHnP7FNE607wKpo2fFxkczv3K6RXUCL5XYfCGBVcOvxwgKn8mcCz3jABTTqgEOGlPchPWgC6AXKXsMNYF_Q-HPeaWO_BRHFOhxiCjKFt8Eocrg0LIr8BnZUsFFXBaizWiUiX4oOLKO1ignmB7mApK1m8RLGXx9_QMgj6uEVaud1lZdj8Ll-ZDdmV-QdhB3WdI0EvnfacNOd78mkeqCXGFJU4FRaAxSggrgbbJV0AUcK4YTjPFQ2-EEAKNeHXVGvV9MlIj43ZD06JcDyMQJy0fcEJPe-jmiWfbUGuSXuAfiMuH419367sULrv9ekgxUH1bAKSkGw8&__tn__=%2ANK-R,2419,358,886,1198,167,207,23,172,31,7,0,148,21,0,0,66,9,138,15,251,43,143,17,0,0,66,8,335,43,2479,665,762,353,342,357
2020-03-27,https://www.facebook.com/EnteRegioneLiguria/posts/2615250028745085,2329,331,878,1180,157,185,21,170,23,10,0,136,21,0,0,67,10,132,15,269,43,144,16,0,0,67,8,271,34,2343,623,676,362,254,428
2020-03-26,https://www.facebook.com/EnteRegioneLiguria/posts/2614258908844197,2262,280,873,1152,154,182,21,163,22,12,0,139,18,0,0,63,9,120,15,265,45,143,16,0,0,65,8,237,23,2272,631,529,325,297,490
2020-03-25,https://www.facebook.com/EnteRegioneLiguria/posts/2613332562270165,2026,254,750,1074,147,148,20,164,21,15,0,147,17,0,0,62,9,108,15,238,41,126,16,1,0,65,8,202,23,NULL,664,458,265,239,530
2020-03-24,https://www.facebook.com/EnteRegioneLiguria/posts/2612448152358606,1864,231,740,950,147,156,19,152,21,7,0,161,17,0,0,56,10,78,15,138,43,131,16,2,0,69,8,174,19,1829,538,331,255,277,428
2020-03-23,https://www.facebook.com/EnteRegioneLiguria/posts/2611514945785260,1693,212,657,894,138,130,17,132,15,10,0,148,15,0,0,49,10,75,14,148,43,134,16,1,0,67,8,142,17,2093,591,360,277,411,454
2020-03-22,https://www.facebook.com/EnteRegioneLiguria/posts/2610587382544683,1478,171,481,868,132,138,17,121,15,11,0,115,15,0,0,48,10,64,14,171,38,132,16,1,0,67,7,129,14,2063,506,361,350,419,427
2020-03-21,https://www.facebook.com/EnteRegioneLiguria/posts/2609645585972196,1273,152,430,727,129,125,16,118,14,8,0,73,13,0,0,35,10,56,15,126,37,125,16,0,0,61,8,116,9,2090,486,301,427,366,510
2020-03-20,https://www.facebook.com/EnteRegioneLiguria/posts/2608766129393475,1092,119,305,694,121,115,14,109,15,2,0,63,13,0,0,27,10,58,13,119,32,141,16,0,0,58,8,93,8,1860,359,229,391,474,407
